,Target,Text
Bushfire,0,"@maz314Wa @MarkMcGowanMP He doesn't want to. Like dan, he'll fan it until it's a bushfire of covid cases and keep everyone locked up imo. I feel terrible for you guys out west atm."
Bushfire,0,@Tiddapage The harm and spiritual damage the peoples parliament building has hosted and suffered in the last few years.  It will need a bushfire of 🍃 to exorcise
Bushfire,0,"Lets see how they voted for some key issues.. say climate change, protecting women from DV , covid response, aged care royal commission, indue card, bushfire relief, family court abolition, covid disinformation... https://t.co/ZjQjipYyrm"
Bushfire,1,Bridgetown blaze demonstrates bushfire-resistant benefits of building with hemp  https://t.co/WzXlce1itw via @ABCaustralia
Bushfire,0,@64Hyacinth @DylanAlcott Add in NDIS funding should not be a slush fund for the LNP to raid at will. How many more billion have they stolen since Joshie thieved $4B for his “back in black” scam?  Wasn’t  the $2B bushfire relief fund that disappeared
Bushfire,1,Fire crews protecting houses as north east bushfire rages on https://t.co/tgCGnDXvPQ
Bushfire,0,LOL the Governments put money aside - umm Bushfire Relief #QandA
Bushfire,0,"How good is nature 🙌🏻
Right now, a trip to @WestAustralia's #MammothCave offers the rare opportunity to witness the beauty of bushfire regeneration 🌱 (📸:IG/tessomewhere).
#seeaustralia #thisiswa #australiassouthwest #holidayherethisyear https://t.co/DJP029lCYd"
Bushfire,0,"via WIN News Illawarra 
Today marks 2 years since the Morton Bushfire was extinguished  after ripping through the small town of Bundanoon. Locals are on the road to recovery but there's still a way to go, watch news story here #bundanoon
https://t.co/i1AqtvebZ5"
Bushfire,0,This is the America of the future. Fentanyl &amp; meth is ravaging that country like a bushfire and nothing is being done about it. Sad https://t.co/DEYe8D0kz4
Bushfire,1,Well I’ll be buggered. The Kangaroo Island Dunnart has survived yet ANOTHER bushfire event. ABC news straight-facedly reporting: “scientists believe the Dunnart has adapted to bushfire conditions”. Who woulda thunk a native animal could be so… adaptable? https://t.co/EjiyMZaKAi
Bushfire,1,"TAS Bushfire Watch &amp; Act for Lebrina, Wyena, Golconda, Ferny Hill Road &amp; Surrounds. #bushfire #fire #ausfires #ewnalerts #wildfire #TAS #tasfires https://t.co/eyFz1ta1W9 https://t.co/2cLfzbG93o"
Bushfire,0,"Bushfire Volunteers State President, Dave Gossage, believes the union is ""all about more memberships"".
#perthnews
https://t.co/7OirayUG9Q"
Bushfire,1,‘It’s scary’: Property owners prepare amid bushfire warning https://t.co/JGrrSjKECB
Bushfire,1,Support for Community affected by Bushfire https://t.co/YaChf5CATR
Bushfire,1,Residents watch on as a bushfire continues to burn uncontrolled in Tasmania’s north #tasfires @abcnews https://t.co/qrHmXmPLzJ
Bushfire,0,"Do you need assistance with preparing your rural property or creating a survival plan this bushfire season?
Bushfires NThttps://www.facebook.com/photo.php?fbid=275236881405979&amp;set=a.122709729992029&amp;type=3"
Bushfire,1,"WA Fire Weather Warning for South Coastal, South East Coastal, Goldfields, Roe, Beaufort, Lakes &amp; Ninghan. #fireweather #ewnalerts #bushfire #wildfire #WA https://t.co/JEIH4mm54d https://t.co/brzEgkWsOC"
Bushfire,1,"@@short_hour@@ -Bushfire ADVICE for KANGAROO GULLY, HESTER, HESTER BROOK and BRIDGETOWN in the Shire of BRIDGETOWN-GREENBUSHES: https://t.co/ZSEIQCTb4B"
Bushfire,1,"04:06 PM -Bushfire ADVICE for parts of DENMARK, SHADFORTH, SCOTSDALE, MOUNT LINDESAY, MOUNT ROMANCE, HAY, PARRYVILLE, KORDABUP and KENTDALE in the SHIRE OF DENMARK: https://t.co/ZSEIQCTb4B"
Bushfire,1,"04:03 PM -Bushfire ADVICE for southern parts of CORRIGIN, south-west parts of ARDATH and eastern parts of SHACKLETON in the SHIRE OF QUAIRADING, SHIRE OF CORRIGIN, SHIRE OF BRUCE ROCK, SHIRE OF KONDININ AND SHIRE OF NAREMBEEN: https://t.co/ZSEIQCTb4B"
Bushfire,0," @sidherian And the colour coded spreadsheets for Sports Rorts and Carkparks…
Bushfire funds never spent…
🤯🤦‍♂️"
Bushfire,0," Scott gets blamed for absolutely everything by the left.
He caused the bushfire.
Obviously his policies on climate worked because we have had two years without them."
Bushfire,1,"Watch and act issued for as bushfire expected to reach Lebrina, Wyena https://t.co/VxnmvxQHYR via @ExaminerOnline"
Bushfire,1,Bushfire alert for Lebrina and Wyena https://t.co/cAKoxk0UCs #hobart #7hofm
Bushfire,0,If this bushfire comes and kills me I still hope all your coins go to 0 https://t.co/Vt4ASG7mOe
Bushfire,0," @newscomauHQ Getting on TV or in the news will not rewrite history.
Why not a story about the bushfire victims and how they are doing now?"
Bushfire,0,"@albsie @colonelhogans I thought as much. The bushfire relief fund was always a furphy, to be rebadged as some other fund. PM was basically hounded out by angry residents, so it was obvious that his bruised ego would not allow any relief for them."
Bushfire,1,"03:38 PM -Bushfire ADVICE for parts of ANKETELL, CASUARINA and OAKFORD in the CITY OF KWINANA and SHIRE of SERPENTINE-JARRAHDALE : https://t.co/ZSEIQDbkiJ"
Bushfire,0,@mel_wright123 @xskinn @SenatorCash if your enacting the will of the people where’s the bushfire money? Where’s the ICAC? Why were their car park rorts? Politicians need booting from parliament at the next election.
Bushfire,0," @bentsolutionsau @steph_brown_aus @James_Jeffrey @TroyPSimpson @JoshButler @TheFlyingZebra4 Indian &amp; Asian tend to Liberal.
This may help.
Fraudulentbugga being obnoxious to Hindus Spirituality &amp; Faith denigrated in Parliament under "
Bushfire,1,"Watch and act issued for as bushfire expected to reach Lebrina, Wyena https://t.co/d8oymp1nEC"
Bushfire,0,"https://t.co/nS4gMYzKCJ
2nd Alarm
Grass Fire
Gum Creek
Fire in paddock South side
Just East Booborowie Rd Gum Creek Rd Gum Creek
17:52
10-02-22
 #bushfire #SAfires"
Bushfire,1,Bushfire - Leeuwin - Naturaliste National Park - map 1c. Read more at https://t.co/RSzm4s9Fpv for details
Bushfire,0,"Australia’s bushfire threat already beyond worst-case scenarios, thanks to climate change https://t.co/UVk3dGMy6b via @renew_economy"
Bushfire,0,'Harsh Summer Komorebi | Australian Forest in Stardew Valley 🔥 Bushfire Wildfire Season | Naturescape environment painting by Albert Bierstadt' https://t.co/q51wU6AGWo
Bushfire,1,An out-of-control bushfire is heading towards properties in Tasmania’s north. A watch and act warning is in place for the areas of Lebrina and Wyena #tasfires @abcnews https://t.co/iVRCruNZT1
Bushfire,0,"@farmingforever I live in the Central Wheatbelt of WA where I grew up on a farm in the 1960s and '70s. The South West of WA is very much on the frontline of global heating. The region is now far drier and hotter than it was, and the bushfire risk is great"
Bushfire,0,"WA's Department of Fire and Emergency Services Commissioner Darren Klemm has said there was no doubt climate change was intensifying bushfire conditions
Farmers and farming communities in WA's wheatbelt are still assessing the damage, including loss of stock and soil erosion https://t.co/2KkURfuham"
Bushfire,1,Bushfire alert for Lebrina and Wyena #100%launceston #lafm #localnews #leadersinlocal https://t.co/lNriLCHcWZ
Bushfire,0,@10NewsFirst @vanOnselenP Frankly ppl of Aust can see through his behaviour.  Beyond belief that LNP have allowed a sale of a dubious country property for a “proposed airport”  to go through + millions of taxpayers dollars to be gifted to a cult relig
Bushfire,1,Bushfire alert for Lebrina and Wyena #tastalks #localnews #leadersinlocal https://t.co/1l4ZywgCLZ
Bushfire,0,"The Australian government is so incompetent that after failing to meet any promises with bushfire and COVID relief, now they want to end free speech so that people can't criticize their blatant corruption and greed. Even the Murdoch media has turned on the PM. Shameful."
Bushfire,0,@Auspureblood When he sang one of of his songs with Coldplay at that bushfire concert it  was awesome
Bushfire,1,Fire crews are battling a bushfire in Lebrina. A watch and act is in place. More at six @7tasnews https://t.co/4KWewfcKzB
Bushfire,0,"Bushfire ranges all across that bright red sky.
And the ashfall will only cause the temperature rise."
Bushfire,0,"@Bushfire_DS @DanielAndrewsMP Mate, not the place. One problem at a time yeah."
Bushfire,0,Fire-resistant hempcrete blocks bring hope in the wake of Bridgetown bushfire https://t.co/t59ro56Qng
Bushfire,0,"Australia's bushfire threat already beyond worst-case scenarios, thanks to climate change | RenewEconomy https://t.co/Rn21jqzmwJ"
Bushfire,0,Fire-resistant hempcrete blocks bring hope in the wake of Bridgetown bushfire https://t.co/6uKMewCnQV
Bushfire,0,Well you know you have to pay your mates Rupert and Gerry so gotta grift the money from somewhere unimportant like the ABC and the 2019 Bushfire Fund https://t.co/46mF3JHljJ
Bushfire,0,"An act of desperation. I'm sure he will do his best to emulate his efforts his last campaign. He is a liar and that will stick...as will the stench of the bushfire smoke, the rotting murray cod, the bleaching reef, the cuts, the unkept promises , the rorts and impropriety. https://t.co/JkFCTHbKzo"
Bushfire,0,"@samanthamaiden @AlboMP @Tony_Burke An act of desperation. I'm sure he will do his best to emulate his efforts his last campaign. He is a liar and that will stick...as will the stench of the bushfire smoke, the rotting murray cod, the bleaching reef, the "
Bushfire,0,Could you please ask her if she knows what happened to all the Bushfire donations? https://t.co/c1xFjGEkX9
Bushfire,0,"Had a very heartwarming chat with two passionate #CitizenScientists  on #iNaturalist #EnvironmentRecoveryProject recording Torrington's unique species returning after bushfire.
It is  reassuring to meet people giving their focus to caring for our unique Aus flora and fauna. https://t.co/wcQR3fD4Py"
Bushfire,0,"🌻👇🤮😊🖤😷
(image created by someone smarter than I, I just loved it &amp; saved it when it came out during the bushfire crisis) https://t.co/Fd3VlmZqnA https://t.co/zU1X1Atuca"
Bushfire,0,@drjennifermckay: 3 cases since 2020 in Age of Obligations. Obligations were imposed on statutory authorities: National Parks Case in Vic (Protected Areas); Adani Water (error of law by Fed gov) &amp; Bushfire Survivors (1st case compelling action by gov 
Bushfire,0,The hulk is saving people in a bushfire with no fire suit he’s amazing
Bushfire,1,"SW WA recent fire 
Laurie PettersenHesterbrook Volunteer Bushfire Brigade
1 d  · 
The view in Hester just before the fire hit
Never forget these guys and girls put themselves in front of things like this for you https://t.co/TfXIKlm0lU"
Bushfire,0,Context: https://t.co/DRhattZE0J
Bushfire,0,@DanielAndrewsMP But ya needed an enquiry into cannabis and then bowed down to vicpol anyway.
Bushfire,0,"@ABarrMLA: ""an eccentric and eclectic bunch"". Ken Behrens: ""...cunt(s) … pieces(s) of shit""."
Bushfire,0,@bb03cb @roguetradar @messyjez @jamesglenday I think that’s what is needed in the campaign. Him saying something (lying) &amp; then shown up. Vaccine. RAT. States. And announcing funding that has previously been removed announce etc. Bushfire. DV. Menta
Bushfire,0,"Morrison treated Ms Tame with respect hahahahahaha😞😞💥 #qt. Sit down Boofhead! This guy knew nothing of a rape, a bushfire, a submarine contract, a  $1m brown paper bag.., of course PM Shultz knows nothing! https://t.co/PaJgvJjgjK"
Bushfire,0," @samanthamaiden @AlboMP @Tony_Burke After water rorts, car park rorts, Rolex rorts, internet rorts, Jobkeeper rorts, sports rorts, au pair rorts...East Timor rorts, tax allowance rorts, bushfire water bomber &amp; Covid response, aged care fails.."
Bushfire,0,"So important to recognise the impact #climatechange is having on #naturalhazard &amp; #bushfire in particular.
We need to support remote &amp; rural communities to explore new approaches like SAPS &amp; islandable #microgrids. https://t.co/KrmTnATzP3"
Bushfire,0,"Sorry this is a puff peice to Morrison. He knew before he left for Hawaii that their was bushfire Crisis, no amount trying to explain their behavior is going to save them. https://t.co/QG9jXWj2Fd"
Bushfire,0,"Imagine - a nationally consistent, fit for purpose regulatory system – that actually works. That’s what we REALLY need from the Commonwealth and States and Territories – as recommended by the Bushfire RC and Senate Inquiry into Fundraising for the 21st C. #fixfundraising"
Bushfire,0,"We also need more capacity to fight fires.
The Bushfire Royal Commission report recommended the creation of a national 'sovereign' aerial firefighting fleet, which can then be allocated to the states ""according to greatest national need""
https://t.co/avxTO3U3qD"
Bushfire,0,"@KVgonewild @gerson008 @craigthomler @AlboMP They got worse since then, and it's still pissing on a bushfire. They don't take is seriously; see the massive ""donations"" they take from coal interests.  https://t.co/vyZ3swELe0"
Bushfire,0,@WittGorrie I hope a bushfire destroys the bloody thing. He shouldn't be allowed to speak about equality and protecting children when he's doing this.
Bushfire,0,"As a cooler summer provides Australia a reprieve from the extremes of recent hot summers, experts say bushfire threat still exceeds 'worst case' scenarios.
https://t.co/WRWf4ixjA4"
Bushfire,1,"10:45 AM -Bushfire ADVICE for KANGAROO GULLY, HESTER, HESTER BROOK and BRIDGETOWN in the Shire of BRIDGETOWN-GREENBUSHES: https://t.co/ZSEIQDbkiJ"
Bushfire,0,"@Travisdhanraj @fordnation @SylviaJonesMPP This is what you would get. Folks this is spreading like an ""Australian Bushfire. Its Gonna"" hit us Like a Tsunami"". Oh!! Krista wrong teleprompter this is supposed to be about the Occupation, quick where's the s"
Bushfire,0,@adambspencer And there's that bushfire thing they should really look into.
Bushfire,0,"Australia’s bushfire threat already beyond worst-case scenarios, thanks to climate change https://t.co/BNodaXLU2n #renewables #cleanenergy"
Bushfire,1,"10:32 AM -Bushfire ADVICE for parts of ANKETELL, CASUARINA and OAKFORD in the CITY OF KWINANA and SHIRE of SERPENTINE-JARRAHDALE : https://t.co/ZSEIQCTb4B"
Bushfire,0,"We need an ICAC TO INVESTIGATE The LNP's Sports rort Robodebt Water sell-off bushfire funds GBR FUND, https://t.co/f3HuVMXapL"
Bushfire,0,"theage Bulldust. 
What an utter waste of time. 
No Fed ICAC. No bushfire relief. No healthcare support. No aged care salvation. No prepa for the inevitable 4th wave. 
An orchestrated misuse of Parliament by the most self-serving Prime Minister we have ev"
Bushfire,0,@bgosford @stilgherrian Probably doing imaging to survey post-bushfire regrowth. Customer is probably someone like NSW National Parks or maybe a university researcher who got a grant.
Bushfire,1,"The Australian Red Cross is providing Farm First Aid Training in March in support of drought and bushfire affected communities at Rosewhite, Buffalo River, Whorouly and Carboor in March. Register via the QR code at https://t.co/K5gVaD1X06 or go to https://t.co/Puva6MjL3P. https://t.co/XHGb0D7ILZ"
Fire,0,Morganite Gemstone White Fire Opal 925 Sterling Silver Ring Size 6 R1354 http://t.co/hHpVSAtQXN http://t.co/D12r8XpShy
Fire,0,Marquei como visto Game of Thrones - 3x5 - Kissed by Fire http://t.co/CJHH17duli #bancodeseries
Fire,0,Save the Date! Saturday August 15 2015 is the Salisbury Fire Department Open House at 325 Cypress St 10am to... http://t.co/Oa6B0Z2H6Y
Fire,0,Why put out a fire when it's still burning.
Fire,0,@Miss_HoMaStToPa cause were on fire we are on fire were on fire now.. Yeah were on fire we are on fire were on fire nowwwwww
Fire,0,My avi And header combo is fire
Fire,0,http://t.co/iNkuv5DNTX #auction #shoes Retro 5 fire red http://t.co/1cvEGTIZOG
Fire,0,My asshole is on fire  https://t.co/Y3FO0gHg8t
Fire,0,I'm crying that song just ended setting myself on fire  https://t.co/i2El5aCrRW
Fire,0,Setting things on fire is always an option
Fire,0,Sitting around a fire sounds great right about now
Fire,0,I See Fire
Fire,0,But put 'Flood of Fire' at the top of the list.  https://t.co/p5JPjgiipW
Fire,0,I'm On Fire.  http://t.co/WATsmxYTVa
Fire,0,Politifiact: Harry Reid's '30 Percent of Women Served' Planned Parenthood Claim Is a 'Pants on Fire' Lie http://t.co/aMYMwWcpYm | #tcot
Fire,0,Dear @CanonUSAimaging I brought it ;) #CanonBringIt #Fire  #CanonTattoo #MN #TheresMoreWhereThatCameFrom http://t.co/tCXxHdJAs6
Fire,0,@seanhannity @ScottWalker yeah just who we need another middle class hating republican out to get hard working cops fire fighters teachers
Fire,1,This fire is WAY too close wtf is going on ???? http://t.co/drf3mmRbyx
Fire,0,Fire Meet Gasoline always gotta get played twice lol
Fire,0,WCW @catsandsyrup THA BITCH IS FIRE
Fire,0,well it feels like im on fire.
Fire,0,her eyes and words are so icy but she burns like rum on the fire
Fire,0,#news Politifiact: Harry Reid's '30 Percent of Women Served' Planned Parenthood Claim Is a 'Pants on Fire' Lie... http://t.co/bMSeDZOfSV
Fire,0,Nothing like a good fire https://t.co/ItFbBz9xYC
Fire,0,@DaughterofNai Tenshi activated Yuki's fire card!
Fire,0,California been shaking...catching on fire....and overcharging ppl on rent for the past 150+ years it ain't going nowhere.
Fire,1,There's a fire in the Catalinas. Looks kinda cool. This picture doesn't do it justice. https://t.co/N0tAwGeZJx
Fire,0,@zaynmalik don't overwork yourself. Your album is gonna be fire just don't overwork or stress! I love you take care
Fire,0,@Justin_Ling I promise not to tax pancakes or rainbows or not dying in a fire.
Fire,0,This nigga Cyhi diss was what Meek was suppose to do. This shit actually fire
Fire,0,I wanna set some shit on fire.
Fire,0,In the words of Charlie Daniels 'Fire on the mountain run boys run.'Û_ https://t.co/fz1HAEj255
Fire,0,I just checked in! ÛÒ at On Fire on @ZomatoAUS #LoveFood http://t.co/9l5kqykrbG
Fire,0,When your heart is bigger than the obstacles  in front of you #euro #dontexpectnothing #july #fire @euro
Fire,0,Fire waves and darkness
Fire,0,It may seem like our fire has been a little burnt out....
Fire,0,Smelling a Bon fire while driving makes me wanna be sitting near one making s'mores ????
Fire,0,Will be dropping fire selfie tomorrow saying 'you're welcome' ahead of time.
Evacuation,0,FAAN orders evacuation of abandoned aircraft at MMA: FAAN noted that the action had become necessary due to re... http://t.co/ZUqgvJnEQA
Evacuation,1,#Breaking: Authorities have issued new mandatory evacuation notices for 25 homes to the North of the fire in #Roosevelt WA
Evacuation,1,Roosevelt Wash. under evacuation order due to wildfire http://t.co/FiJAPxyKRQ
Evacuation,1,Humboldt Cty Sheriff's Office has issued an evacuation advisory for 10 residence in the Lassics area... more info at http://t.co/ERUzBUQZYU
Evacuation,0,VIETNAM WAR PATCH US 71st EVACUATION HOSPITAL HIGHLAND MEDICS http://t.co/kIF7M3FQLx http://t.co/Oz6vlWwTNR
Evacuation,0,. @VELDFest announces refunds after Day two's extreme weather evacuation: http://t.co/PP05eTlK7t http://t.co/3Ol8MhhPMa
